order_id,customer_id,full_name,email,phone,product_name,quantity,unit_price
ORD000011,CUST000011,User01,jandhyala.ramkrishna@gmail.com,9.20E+11,iPhone,1,50000
ORD000012,CUST000012,User02,jandhyala.ramkrishna@gmail.com,9.20E+11,samsung ,2,50000
ORD000013,CUST000013,User03,jandhyala.ramkrishna@gmail.com,9.20E+11,nokia,3,50000
ORD000014,CUST000014,User04,jandhyala.ramkrishna@gmail.com,9.20E+11,oppo,4,50000
ORD000015,CUST000015,User05,jandhyala.ramkrishna@gmail.com,9.20E+11,iPhone,5,50000
ORD000016,CUST000016,User06,jandhyala.ramkrishna@gmail.com,9.20E+11,samsung ,6,50000
ORD000017,CUST000017,User07,jandhyala.ramkrishna@gmail.com,9.20E+11,nokia,7,50000
ORD000018,CUST000018,User08,jandhyala.ramkrishna@gmail.com,9.20E+11,oppo,8,50000
ORD000019,CUST000019,User09,jandhyala.ramkrishna@gmail.com,9.20E+11,invalid product,9,50000
ORD000020,CUST000020,User10,jandhyala.ramkrishna@gmail.com,9.20E+11,samsung ,10,50000
ORD000021,CUST000021,User11,jandhyala.ramkrishna@gmail.com,9.20E+11,nokia,11,50000
ORD000022,CUST000022,User12,jandhyala.ramkrishna@gmail.com,9.20E+11,oppo,12,50000
ORD000023,CUST000023,User13,jandhyala.ramkrishna@gmail.com,9.20E+11,iPhone,13,50000
ORD000024,CUST000024,User14,jandhyala.ramkrishna@gmail.com,9.20E+11,samsung ,14,50000
ORD000025,CUST000025,User15,jandhyala.ramkrishna@gmail.com,9.20E+11,nokia,15,50000
ORD000026,CUST000026,User16,jandhyala.ramkrishna@gmail.com,9.20E+11,oppo,16,50000
ORD000027,CUST000027,User17,jandhyala.ramkrishna@gmail.com,9.20E+11,iPhone,17,50000
ORD000028,CUST000028,User18,jandhyala.ramkrishna@gmail.com,9.20E+11,samsung ,18,50000
ORD000029,CUST000029,User19,jandhyala.ramkrishna@gmail.com,9.20E+11,danger product,19,50000
ORD000030,CUST000030,User20,jandhyala.ramkrishna@gmail.com,9.20E+11,oppo,20,50000
ORD000031,CUST000031,User21,jandhyala.ramkrishna@gmail.com,9.20E+11,iPhone,21,50000
ORD000032,CUST000032,User22,jandhyala.ramkrishna@gmail.com,9.20E+11,samsung ,22,50000
ORD000033,CUST000033,User23,jandhyala.ramkrishna@gmail.com,9.20E+11,nokia,23,50000
ORD000034,CUST000034,User24,jandhyala.ramkrishna@gmail.com,9.20E+11,oppo,24,50000
ORD000035,CUST000035,User25,jandhyala.ramkrishna@gmail.com,9.20E+11,iPhone,25,50000
ORD000036,CUST000036,User26,jandhyala.ramkrishna@gmail.com,9.20E+11,samsung ,26,50000
ORD000037,CUST000037,User27,jandhyala.ramkrishna@gmail.com,9.20E+11,nokia,27,50000
ORD000038,CUST000038,User28,jandhyala.ramkrishna@gmail.com,9.20E+11,oppo,28,50000
ORD000039,CUST000039,User29,jandhyala.ramkrishna@gmail.com,9.20E+11,iPhone,29,50000
ORD000040,CUST000040,User30,jandhyala.ramkrishna@gmail.com,9.20E+11,samsung ,30,50000
ORD000041,CUST000041,User31,jandhyala.ramkrishna@gmail.com,9.20E+11,nokia,31,50000
ORD000042,CUST000042,User32,jandhyala.ramkrishna@gmail.com,9.20E+11,oppo,32,50000
